latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.622143,-58.40909,19.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_speed_100m (km/h)
2024-01-04T13:00,23.4,0.20,73,25.9
2024-01-04T14:00,24.5,0.20,68,21.9
2024-01-04T15:00,25.9,0.10,62,20.9
2024-01-04T16:00,26.7,0.00,59,19.6
2024-01-04T17:00,27.2,0.00,56,18.0
2024-01-04T18:00,26.9,0.00,56,19.0
2024-01-04T19:00,27.0,0.00,56,20.2
2024-01-04T20:00,27.3,0.00,55,23.4
2024-01-04T21:00,26.4,0.00,63,29.1
2024-01-04T22:00,25.2,0.00,66,31.6
2024-01-04T23:00,24.5,0.00,71,30.3
2024-01-05T00:00,24.2,0.00,77,27.1
2024-01-05T01:00,24.2,0.00,78,26.6
2024-01-05T02:00,24.8,0.00,79,24.9
2024-01-05T03:00,24.9,0.00,71,29.4
2024-01-05T04:00,24.6,0.00,67,32.2
2024-01-05T05:00,24.1,0.00,65,35.1
2024-01-05T06:00,23.5,0.00,69,33.9
2024-01-05T07:00,23.0,0.00,73,30.6
2024-01-05T08:00,22.6,0.00,76,27.9
2024-01-05T09:00,22.2,0.00,78,26.0
2024-01-05T10:00,23.0,0.00,75,23.6
2024-01-05T11:00,23.6,0.00,72,23.9
2024-01-05T12:00,24.4,0.00,70,23.3
2024-01-05T13:00,25.3,0.00,70,16.7
2024-01-05T14:00,26.1,0.00,68,13.8
2024-01-05T15:00,27.1,0.00,65,14.5
2024-01-05T16:00,27.9,0.00,61,15.3
2024-01-05T17:00,28.4,0.00,56,17.1
2024-01-05T18:00,28.6,0.00,53,17.3
2024-01-05T19:00,28.2,0.00,55,18.0
2024-01-05T20:00,27.9,0.00,56,18.0
2024-01-05T21:00,27.6,0.00,57,20.6
2024-01-05T22:00,26.6,0.00,67,25.7
2024-01-05T23:00,25.6,0.00,76,25.2
2024-01-06T00:00,25.2,0.00,78,25.6
2024-01-06T01:00,25.4,0.00,77,28.7
2024-01-06T02:00,25.4,0.00,77,31.8
2024-01-06T03:00,25.2,0.00,81,29.0
2024-01-06T04:00,25.6,0.00,74,28.7
2024-01-06T05:00,25.5,0.00,70,28.4
2024-01-06T06:00,25.3,0.00,68,29.2
2024-01-06T07:00,25.0,0.00,67,30.9
2024-01-06T08:00,24.5,0.00,68,23.9
2024-01-06T09:00,24.3,0.00,72,20.5
2024-01-06T10:00,24.9,0.00,74,31.6
2024-01-06T11:00,26.0,0.00,70,29.2
2024-01-06T12:00,26.8,0.00,66,29.9
2024-01-06T13:00,26.5,0.00,72,25.7
2024-01-06T14:00,27.4,0.50,67,17.9
2024-01-06T15:00,27.7,0.40,66,16.5
2024-01-06T16:00,24.8,10.50,81,9.4
2024-01-06T17:00,24.6,1.50,81,8.7
2024-01-06T18:00,26.9,0.10,75,11.6
2024-01-06T19:00,26.7,0.00,76,13.0
2024-01-06T20:00,26.8,0.00,77,8.3
2024-01-06T21:00,27.2,0.00,77,6.8
2024-01-06T22:00,26.4,0.00,82,12.1
2024-01-06T23:00,25.2,0.00,87,12.0
2024-01-07T00:00,24.5,0.00,89,11.3
2024-01-07T01:00,25.9,0.00,72,13.2
2024-01-07T02:00,25.3,0.00,75,8.7
2024-01-07T03:00,24.7,0.00,77,8.7
2024-01-07T04:00,24.1,0.00,79,8.4
2024-01-07T05:00,23.5,0.00,80,8.6
2024-01-07T06:00,23.0,0.00,81,14.3
2024-01-07T07:00,22.5,0.00,83,14.1
2024-01-07T08:00,21.9,0.00,87,10.9
2024-01-07T09:00,21.6,0.00,89,13.0
2024-01-07T10:00,22.7,0.00,86,22.6
2024-01-07T11:00,23.3,0.00,81,13.3
2024-01-07T12:00,23.7,0.00,76,10.2
2024-01-07T13:00,26.1,0.00,69,14.2
2024-01-07T14:00,26.8,0.00,67,13.0
2024-01-07T15:00,27.5,0.00,64,11.1
2024-01-07T16:00,27.8,0.00,62,10.8
2024-01-07T17:00,28.3,0.00,60,4.9
2024-01-07T18:00,28.4,0.00,58,4.0
2024-01-07T19:00,28.6,0.00,57,5.1
2024-01-07T20:00,24.8,0.70,70,11.2
2024-01-07T21:00,23.5,0.30,77,16.1
2024-01-07T22:00,22.9,0.20,80,5.9
2024-01-07T23:00,22.7,0.60,82,11.4
2024-01-08T00:00,22.3,0.10,86,25.0
2024-01-08T01:00,20.8,4.10,93,21.4
2024-01-08T02:00,21.7,0.70,87,28.5
2024-01-08T03:00,22.2,0.10,81,26.2
2024-01-08T04:00,22.1,0.00,74,30.3
2024-01-08T05:00,21.5,0.00,76,24.5
2024-01-08T06:00,21.1,0.00,76,9.8
2024-01-08T07:00,21.9,0.00,71,6.7
2024-01-08T08:00,21.1,0.00,75,5.2
2024-01-08T09:00,18.5,0.00,88,5.9
2024-01-08T10:00,19.8,0.00,87,10.6
2024-01-08T11:00,21.6,0.00,82,13.7
2024-01-08T12:00,23.2,0.00,76,10.2
2024-01-08T13:00,24.5,0.00,72,4.7
2024-01-08T14:00,25.8,0.00,66,4.5
2024-01-08T15:00,27.0,0.00,62,1.8
2024-01-08T16:00,28.0,0.00,58,2.7
2024-01-08T17:00,28.8,0.00,53,3.3
2024-01-08T18:00,29.1,0.00,51,1.8
2024-01-08T19:00,28.7,0.00,57,5.8
2024-01-08T20:00,27.7,0.00,70,15.5
2024-01-08T21:00,27.3,0.00,67,16.1
2024-01-08T22:00,26.6,0.00,66,13.3
2024-01-08T23:00,25.5,0.00,72,12.5
2024-01-09T00:00,24.8,0.00,75,11.6
2024-01-09T01:00,24.7,0.00,77,13.7
2024-01-09T02:00,24.6,0.00,74,15.5
2024-01-09T03:00,24.3,0.00,75,20.4
2024-01-09T04:00,24.0,0.00,79,20.9
2024-01-09T05:00,23.6,0.00,81,20.9
2024-01-09T06:00,23.2,0.00,80,20.2
2024-01-09T07:00,22.7,0.00,81,17.6
2024-01-09T08:00,22.4,0.00,82,18.1
2024-01-09T09:00,22.0,0.00,84,17.8
2024-01-09T10:00,23.4,0.00,82,15.1
2024-01-09T11:00,25.0,0.00,77,15.9
2024-01-09T12:00,25.9,0.00,73,19.1
2024-01-09T13:00,27.1,0.00,69,14.9
2024-01-09T14:00,28.3,0.00,61,16.4
2024-01-09T15:00,29.2,0.00,54,17.0
2024-01-09T16:00,29.9,0.00,50,17.0
2024-01-09T17:00,30.2,0.00,45,16.2
2024-01-09T18:00,30.1,0.00,46,12.4
2024-01-09T19:00,30.9,0.00,45,12.0
2024-01-09T20:00,31.0,0.00,44,13.4
2024-01-09T21:00,30.5,0.00,45,8.8
2024-01-09T22:00,29.2,0.00,57,9.4
2024-01-09T23:00,26.7,0.00,76,14.6
2024-01-10T00:00,25.7,0.00,81,17.7
2024-01-10T01:00,25.3,0.00,84,13.4
2024-01-10T02:00,25.2,0.00,82,17.3
2024-01-10T03:00,25.0,0.00,86,21.3
2024-01-10T04:00,24.7,0.00,85,18.4
2024-01-10T05:00,23.8,0.00,87,16.0
2024-01-10T06:00,23.2,0.00,87,14.3
2024-01-10T07:00,21.9,0.00,89,27.3
2024-01-10T08:00,21.7,0.00,90,34.3
2024-01-10T09:00,20.9,0.00,86,38.5
2024-01-10T10:00,21.0,0.00,84,36.2
2024-01-10T11:00,22.0,0.00,82,27.5
2024-01-10T12:00,24.0,0.00,76,29.3
2024-01-10T13:00,27.3,0.00,71,19.2
2024-01-10T14:00,28.0,0.00,66,19.4
2024-01-10T15:00,28.3,0.00,66,21.3
2024-01-10T16:00,28.5,0.00,67,23.8
2024-01-10T17:00,27.7,0.30,70,16.4
2024-01-10T18:00,28.0,0.00,67,17.1
2024-01-10T19:00,28.5,0.00,64,15.0
2024-01-10T20:00,27.7,0.00,69,11.6
2024-01-10T21:00,27.5,0.00,67,18.6
2024-01-10T22:00,27.0,0.00,67,16.1
2024-01-10T23:00,26.1,0.00,74,17.0
2024-01-11T00:00,25.1,0.00,79,19.3
2024-01-11T01:00,22.9,0.00,86,14.5
2024-01-11T02:00,22.9,0.00,89,16.6
2024-01-11T03:00,23.3,0.00,92,25.8
2024-01-11T04:00,22.8,0.00,91,24.2
2024-01-11T05:00,22.2,0.00,92,20.5
2024-01-11T06:00,21.7,0.00,93,21.3
2024-01-11T07:00,21.4,0.00,93,23.2
2024-01-11T08:00,21.1,0.00,95,26.3
2024-01-11T09:00,20.7,0.00,96,33.4
2024-01-11T10:00,21.3,0.00,93,36.4
2024-01-11T11:00,21.8,0.00,84,35.9
2024-01-11T12:00,22.6,0.00,71,33.4
2024-01-11T13:00,23.1,0.00,60,29.1
2024-01-11T14:00,24.4,0.00,57,23.4
2024-01-11T15:00,25.6,0.00,55,18.8
2024-01-11T16:00,26.5,0.00,50,16.0
2024-01-11T17:00,26.7,0.00,51,17.2
2024-01-11T18:00,26.0,0.00,61,22.7
2024-01-11T19:00,25.3,0.00,62,31.5
2024-01-11T20:00,23.7,0.00,70,36.1
2024-01-11T21:00,22.5,0.00,71,39.3
2024-01-11T22:00,21.8,0.00,73,41.0
2024-01-11T23:00,21.3,0.00,72,36.9
2024-01-12T00:00,20.6,0.00,72,36.2
2024-01-12T01:00,19.7,0.00,70,30.6
2024-01-12T02:00,19.1,0.00,69,28.2
2024-01-12T03:00,18.9,0.00,71,26.0
2024-01-12T04:00,18.9,0.00,73,26.5
2024-01-12T05:00,18.7,0.00,74,24.7
2024-01-12T06:00,18.6,0.00,76,22.0
2024-01-12T07:00,18.3,0.00,80,21.7
2024-01-12T08:00,18.1,0.00,79,20.8
2024-01-12T09:00,18.0,0.00,79,20.3
2024-01-12T10:00,18.9,0.00,74,19.4
2024-01-12T11:00,20.1,0.00,67,19.4
2024-01-12T12:00,21.0,0.00,62,19.6
2024-01-12T13:00,21.6,0.00,63,20.8
2024-01-12T14:00,22.0,0.00,63,22.9
2024-01-12T15:00,22.6,0.00,61,24.2
2024-01-12T16:00,23.1,0.00,60,23.7
2024-01-12T17:00,23.5,0.00,59,24.7
2024-01-12T18:00,23.8,0.00,57,27.4
2024-01-12T19:00,23.9,0.00,53,29.2
2024-01-12T20:00,23.9,0.00,52,32.1
2024-01-12T21:00,23.4,0.00,52,33.5
2024-01-12T22:00,22.7,0.00,57,34.9
2024-01-12T23:00,22.1,0.00,63,34.0
2024-01-13T00:00,21.8,0.00,66,33.6
2024-01-13T01:00,21.3,0.00,67,33.5
2024-01-13T02:00,21.8,0.00,68,34.3
2024-01-13T03:00,22.2,0.00,63,31.4
2024-01-13T04:00,22.1,0.00,65,30.2
2024-01-13T05:00,21.7,0.00,68,29.8
2024-01-13T06:00,21.4,0.00,70,23.7
2024-01-13T07:00,21.6,0.00,70,28.8
2024-01-13T08:00,21.7,0.20,69,35.5
2024-01-13T09:00,21.7,0.20,71,34.7
2024-01-13T10:00,22.2,0.00,72,28.5
2024-01-13T11:00,22.8,0.00,67,25.7
2024-01-13T12:00,23.5,0.00,65,26.3
2024-01-13T13:00,24.8,0.00,63,19.2
2024-01-13T14:00,26.1,0.00,59,20.2
2024-01-13T15:00,27.1,0.00,57,19.8
2024-01-13T16:00,28.2,0.00,54,19.5
2024-01-13T17:00,28.1,0.00,54,17.9
2024-01-13T18:00,29.1,0.00,50,15.6
2024-01-13T19:00,29.8,0.00,47,18.1
2024-01-13T20:00,29.8,0.00,44,25.0
2024-01-13T21:00,29.9,0.00,42,24.1
2024-01-13T22:00,29.4,0.00,46,24.2
2024-01-13T23:00,27.2,0.00,65,20.2
2024-01-14T00:00,26.0,0.00,74,24.5
2024-01-14T01:00,25.7,0.00,78,8.7
2024-01-14T02:00,25.5,0.00,80,14.5
2024-01-14T03:00,25.2,0.00,81,16.2
2024-01-14T04:00,25.0,0.00,81,16.3
2024-01-14T05:00,23.9,0.00,80,16.9
2024-01-14T06:00,22.3,0.00,82,11.7
2024-01-14T07:00,21.1,1.50,81,34.5
2024-01-14T08:00,21.4,0.50,78,7.4
2024-01-14T09:00,20.9,0.80,85,18.1
2024-01-14T10:00,21.5,0.00,83,17.3
2024-01-14T11:00,21.9,0.00,85,23.8
2024-01-14T12:00,23.5,0.00,77,12.6
2024-01-14T13:00,24.3,0.00,73,25.7
2024-01-14T14:00,26.4,0.00,65,31.2
2024-01-14T15:00,27.6,0.00,62,31.3
2024-01-14T16:00,29.2,0.00,54,36.6
2024-01-14T17:00,30.2,0.00,50,37.1
2024-01-14T18:00,31.3,0.00,42,38.6
2024-01-14T19:00,31.6,0.00,35,38.9
2024-01-14T20:00,29.9,0.00,39,41.3
2024-01-14T21:00,28.9,0.00,33,36.6
2024-01-14T22:00,27.1,0.00,38,31.2
2024-01-14T23:00,24.8,0.00,47,26.0
2024-01-15T00:00,23.0,0.00,55,22.9
2024-01-15T01:00,22.4,0.00,55,23.4
2024-01-15T02:00,21.5,0.00,59,21.4
2024-01-15T03:00,20.6,0.00,62,20.9
2024-01-15T04:00,19.8,0.00,65,18.8
2024-01-15T05:00,20.4,0.00,74,20.8
2024-01-15T06:00,21.7,0.00,80,28.8
2024-01-15T07:00,21.5,0.00,80,28.5
2024-01-15T08:00,21.3,0.00,79,27.1
2024-01-15T09:00,21.2,0.00,79,25.8
2024-01-15T10:00,21.9,0.00,77,23.7
2024-01-15T11:00,22.7,0.00,68,22.4
2024-01-15T12:00,23.6,0.00,60,21.0
2024-01-15T13:00,24.2,0.00,62,19.1
2024-01-15T14:00,25.5,0.00,56,19.8
2024-01-15T15:00,26.8,0.00,50,17.4
2024-01-15T16:00,28.0,0.00,45,14.9
2024-01-15T17:00,29.1,0.00,35,14.6
2024-01-15T18:00,29.7,0.00,31,13.6
2024-01-15T19:00,30.0,0.00,28,11.4
2024-01-15T20:00,30.2,0.00,27,10.0
2024-01-15T21:00,29.9,0.00,29,7.8
2024-01-15T22:00,29.3,0.00,33,4.9
2024-01-15T23:00,26.5,0.00,51,11.9
2024-01-16T00:00,25.1,0.00,66,15.9
2024-01-16T01:00,25.4,0.00,68,27.5
2024-01-16T02:00,25.0,0.00,73,29.6
2024-01-16T03:00,25.2,0.00,67,27.4
2024-01-16T04:00,25.1,0.00,72,23.3
2024-01-16T05:00,24.8,0.00,77,20.7
2024-01-16T06:00,24.0,0.00,75,13.7
2024-01-16T07:00,23.3,0.70,77,13.0
2024-01-16T08:00,23.4,0.30,78,16.3
2024-01-16T09:00,22.5,1.90,80,8.9
2024-01-16T10:00,22.8,0.00,79,17.2
2024-01-16T11:00,21.8,2.30,87,33.0
2024-01-16T12:00,20.2,2.60,82,39.2
2024-01-16T13:00,20.8,3.20,92,29.2
2024-01-16T14:00,22.5,0.80,84,33.7
2024-01-16T15:00,23.3,0.30,79,30.9
2024-01-16T16:00,24.4,0.10,73,31.2
2024-01-16T17:00,24.3,0.10,72,32.6
2024-01-16T18:00,25.5,0.10,67,29.5
2024-01-16T19:00,25.7,0.00,64,29.3
2024-01-16T20:00,26.5,0.00,56,26.8
2024-01-16T21:00,26.3,0.00,55,28.0
2024-01-16T22:00,25.5,0.00,60,27.5
2024-01-16T23:00,23.9,0.00,71,31.8
2024-01-17T00:00,23.0,0.00,71,27.0
2024-01-17T01:00,21.8,0.00,79,20.8
2024-01-17T02:00,21.5,0.00,82,19.2
2024-01-17T03:00,21.0,0.00,85,19.1
2024-01-17T04:00,20.4,0.00,88,19.9
2024-01-17T05:00,20.2,0.00,91,20.4
2024-01-17T06:00,20.1,0.00,91,21.7
2024-01-17T07:00,19.7,0.00,91,21.9
2024-01-17T08:00,19.2,0.00,91,23.7
2024-01-17T09:00,18.9,0.00,91,24.2
2024-01-17T10:00,19.8,0.00,90,25.7
2024-01-17T11:00,21.7,0.00,85,23.5
2024-01-17T12:00,23.7,0.00,77,24.7
2024-01-17T13:00,25.0,0.00,72,23.2
2024-01-17T14:00,25.1,0.00,70,22.3
2024-01-17T15:00,25.3,0.00,69,22.9
2024-01-17T16:00,25.4,0.00,71,25.1
2024-01-17T17:00,26.0,0.00,64,23.8
2024-01-17T18:00,26.5,0.00,61,21.3
2024-01-17T19:00,27.0,0.00,60,22.1
2024-01-17T20:00,26.9,0.00,59,23.7
2024-01-17T21:00,26.5,0.00,59,21.5
2024-01-17T22:00,25.7,0.00,66,25.3
2024-01-17T23:00,24.2,0.00,80,32.0
2024-01-18T00:00,23.3,0.00,80,32.7
2024-01-18T01:00,22.9,0.00,80,30.4
2024-01-18T02:00,23.0,0.00,87,33.5
2024-01-18T03:00,24.3,0.00,75,36.9
2024-01-18T04:00,23.9,0.00,74,40.9
2024-01-18T05:00,23.2,0.00,78,38.2
2024-01-18T06:00,22.7,0.00,79,35.4
2024-01-18T07:00,22.2,0.00,81,31.1
2024-01-18T08:00,21.8,0.00,83,28.7
2024-01-18T09:00,21.5,0.00,84,24.8
2024-01-18T10:00,22.1,0.00,82,20.9
2024-01-18T11:00,22.9,0.00,77,21.3
2024-01-18T12:00,23.5,0.00,76,18.9
2024-01-18T13:00,24.0,0.10,78,22.6
2024-01-18T14:00,24.9,0.10,76,22.6
2024-01-18T15:00,25.2,0.10,75,21.3
2024-01-18T16:00,25.9,0.10,73,18.7
2024-01-18T17:00,26.9,0.00,69,13.8
2024-01-18T18:00,27.5,0.00,67,11.5
2024-01-18T19:00,28.1,0.00,66,10.5
2024-01-18T20:00,28.0,0.10,67,6.9
2024-01-18T21:00,27.9,0.10,68,3.3
2024-01-18T22:00,27.3,0.00,73,6.5
2024-01-18T23:00,25.8,0.00,81,13.6
2024-01-19T00:00,24.9,0.00,87,7.0
2024-01-19T01:00,24.5,0.00,89,5.0
2024-01-19T02:00,24.1,0.00,92,6.4
2024-01-19T03:00,23.9,0.00,92,6.9
2024-01-19T04:00,23.6,0.00,93,6.3
2024-01-19T05:00,23.1,0.20,92,9.0
2024-01-19T06:00,22.2,0.40,95,13.0
2024-01-19T07:00,22.3,0.00,93,14.0
2024-01-19T08:00,22.0,0.00,94,20.5
2024-01-19T09:00,21.8,0.00,93,30.1
2024-01-19T10:00,21.3,0.00,85,30.0
2024-01-19T11:00,21.5,0.00,66,30.8
2024-01-19T12:00,22.7,0.00,57,28.6
2024-01-19T13:00,24.6,0.00,55,23.0
2024-01-19T14:00,26.2,0.00,49,21.6
2024-01-19T15:00,27.5,0.00,44,20.2
2024-01-19T16:00,28.6,0.00,40,21.6
2024-01-19T17:00,29.4,0.00,36,21.9
2024-01-19T18:00,30.0,0.00,32,21.5
2024-01-19T19:00,29.0,0.00,37,19.0
2024-01-19T20:00,25.7,0.00,60,34.7
2024-01-19T21:00,25.0,0.00,60,38.9
2024-01-19T22:00,24.3,0.00,63,38.2
2024-01-19T23:00,23.1,0.00,71,40.5
2024-01-20T00:00,22.7,0.00,71,34.7
2024-01-20T01:00,22.0,0.00,69,33.0
2024-01-20T02:00,21.0,0.00,71,31.1
2024-01-20T03:00,20.1,0.00,71,30.2
2024-01-20T04:00,19.0,0.00,73,28.8
2024-01-20T05:00,17.8,0.00,79,29.1
2024-01-20T06:00,17.1,0.00,84,27.3
2024-01-20T07:00,16.7,0.00,85,25.6
2024-01-20T08:00,16.2,0.00,86,24.6
2024-01-20T09:00,15.7,0.00,86,24.1
2024-01-20T10:00,16.5,0.00,82,24.0
2024-01-20T11:00,18.9,0.00,70,21.9
2024-01-20T12:00,21.5,0.00,56,20.9
2024-01-20T13:00,24.3,0.00,54,17.6
2024-01-20T14:00,25.5,0.00,48,19.5
2024-01-20T15:00,26.5,0.00,44,22.5
2024-01-20T16:00,26.9,0.00,43,24.5
2024-01-20T17:00,26.6,0.00,44,29.0
2024-01-20T18:00,26.3,0.00,42,33.0
2024-01-20T19:00,26.2,0.00,44,34.0
2024-01-20T20:00,25.8,0.00,46,35.3
2024-01-20T21:00,25.2,0.00,49,37.5
2024-01-20T22:00,24.2,0.00,52,38.9
2024-01-20T23:00,23.1,0.00,58,36.1
2024-01-21T00:00,22.5,0.00,61,34.2
2024-01-21T01:00,22.4,0.00,64,31.7
2024-01-21T02:00,21.9,0.00,66,30.1
2024-01-21T03:00,21.4,0.00,70,26.3
2024-01-21T04:00,20.9,0.00,74,23.5
2024-01-21T05:00,20.2,0.00,79,21.7
2024-01-21T06:00,19.8,0.00,81,20.2
2024-01-21T07:00,19.4,0.00,82,20.1
2024-01-21T08:00,19.2,0.00,77,21.8
2024-01-21T09:00,19.0,0.00,77,22.9
2024-01-21T10:00,19.8,0.00,74,23.2
2024-01-21T11:00,21.0,0.00,63,23.3
2024-01-21T12:00,21.7,0.00,59,22.7
2024-01-21T13:00,22.8,0.00,54,20.7
2024-01-21T14:00,23.5,0.00,51,22.1
2024-01-21T15:00,24.2,0.00,49,24.2
2024-01-21T16:00,24.8,0.00,49,27.0
2024-01-21T17:00,25.7,0.00,42,32.4
2024-01-21T18:00,26.1,0.00,37,33.7
2024-01-21T19:00,26.1,0.00,41,30.3
2024-01-21T20:00,25.8,0.00,49,29.9
2024-01-21T21:00,25.2,0.00,52,31.0
2024-01-21T22:00,24.4,0.00,56,32.0
2024-01-21T23:00,23.3,0.00,62,32.7
2024-01-22T00:00,22.8,0.00,66,32.0
2024-01-22T01:00,23.0,0.00,71,32.6
2024-01-22T02:00,23.1,0.00,73,30.4
2024-01-22T03:00,23.1,0.00,70,28.6
2024-01-22T04:00,22.9,0.00,66,26.1
2024-01-22T05:00,22.4,0.00,67,27.5
2024-01-22T06:00,21.8,0.00,68,26.7
2024-01-22T07:00,21.2,0.00,72,23.7
2024-01-22T08:00,20.7,0.00,75,21.2
2024-01-22T09:00,20.3,0.00,78,19.3
2024-01-22T10:00,21.1,0.00,75,17.6
2024-01-22T11:00,22.3,0.00,67,15.8
2024-01-22T12:00,23.1,0.00,63,15.1
2024-01-22T13:00,23.2,0.00,63,15.0
2024-01-22T14:00,23.9,0.00,58,14.7
2024-01-22T15:00,24.7,0.00,52,16.1
2024-01-22T16:00,25.5,0.00,46,17.9
2024-01-22T17:00,26.4,0.00,38,20.6
2024-01-22T18:00,27.1,0.00,35,23.4
2024-01-22T19:00,27.3,0.00,33,23.4
2024-01-22T20:00,26.9,0.00,42,27.0
2024-01-22T21:00,25.9,0.00,50,31.8
2024-01-22T22:00,24.9,0.00,56,33.3
2024-01-22T23:00,24.0,0.00,60,30.3
2024-01-23T00:00,23.4,0.00,63,29.4
2024-01-23T01:00,23.2,0.00,75,28.0
2024-01-23T02:00,23.3,0.00,79,27.0
2024-01-23T03:00,23.4,0.00,79,27.6
2024-01-23T04:00,23.5,0.00,66,28.6
2024-01-23T05:00,22.9,0.00,61,28.5
2024-01-23T06:00,22.2,0.00,63,28.3
2024-01-23T07:00,21.7,0.00,66,27.4
2024-01-23T08:00,21.2,0.00,70,26.1
2024-01-23T09:00,20.8,0.00,73,24.5
2024-01-23T10:00,21.5,0.00,71,22.7
2024-01-23T11:00,22.5,0.00,62,23.2
2024-01-23T12:00,23.2,0.00,57,23.6
2024-01-23T13:00,23.5,0.00,56,26.1
2024-01-23T14:00,24.3,0.00,55,23.4
2024-01-23T15:00,25.2,0.00,51,20.2
2024-01-23T16:00,26.2,0.00,47,18.6
2024-01-23T17:00,26.9,0.00,44,17.3
2024-01-23T18:00,27.2,0.00,44,18.2
2024-01-23T19:00,27.9,0.00,43,19.9
2024-01-23T20:00,28.0,0.00,43,23.1
2024-01-23T21:00,27.3,0.00,50,33.2
2024-01-23T22:00,25.2,0.00,61,40.5
2024-01-23T23:00,24.0,0.00,69,43.1
2024-01-24T00:00,23.8,0.00,75,40.7
2024-01-24T01:00,23.6,0.00,78,36.3
2024-01-24T02:00,24.2,0.00,74,30.7
2024-01-24T03:00,24.5,0.00,54,37.8
2024-01-24T04:00,23.7,0.00,56,38.7
2024-01-24T05:00,23.0,0.00,57,38.3
2024-01-24T06:00,22.3,0.00,61,33.4
2024-01-24T07:00,21.7,0.00,65,30.6
2024-01-24T08:00,21.2,0.00,69,28.0
2024-01-24T09:00,20.8,0.00,72,27.7
2024-01-24T10:00,21.4,0.00,70,27.6
2024-01-24T11:00,22.2,0.00,66,26.5
2024-01-24T12:00,23.1,0.00,62,25.2
2024-01-24T13:00,24.5,0.00,56,26.1
2024-01-24T14:00,25.6,0.00,52,23.5
2024-01-24T15:00,26.6,0.00,46,20.9
2024-01-24T16:00,27.3,0.00,41,19.1
2024-01-24T17:00,27.9,0.00,36,19.1
2024-01-24T18:00,28.0,0.00,37,19.5
2024-01-24T19:00,28.0,0.00,40,20.2
2024-01-24T20:00,28.1,0.00,41,21.1
2024-01-24T21:00,28.0,0.00,43,22.8
2024-01-24T22:00,27.3,0.00,48,25.6
